Entity,Years,Outdoor_air_pollution,High_blood_pressure,Alcohol_use,Smoking,Drug_use
Afghanistan,2019,9154,36017,583,10306,700
African Region (WHO),2019,245491,718299,270441,236433,36543
Albania,2019,1556,7609,737,4425,130
Algeria,2019,22229,58602,1285,21555,1030
American Samoa,2019,8,87,2,55,2
Andorra,2019,14,101,40,106,6
Angola,2019,5713,17686,11906,7511,557
Antigua and Barbuda,2019,30,130,28,37,1
Argentina,2019,13120,59080,20962,51306,3062
Armenia,2019,3243,7789,802,4864,96
Australia,2019,1897,25498,8576,18999,2673
Austria,2019,2668,19769,4944,12314,594
Azerbaijan,2019,8004,23865,4044,12497,347
Bahamas,2019,100,586,146,155,9
Bahrain,2019,643,825,69,545,28
Bangladesh,2019,83912,182937,10147,105712,1384
Barbados,2019,175,555,126,157,4
Belarus,2019,8483,44187,9807,20509,862
Belgium,2019,3807,18655,7237,19616,894
Belize,2019,95,301,123,138,7
Benin,2019,2419,7361,1971,1938,87
Bermuda,2019,9,110,22,61,2
Bhutan,2019,336,702,84,332,28
Bolivia,2019,4011,9092,3070,3529,220
Bosnia and Herzegovina,2019,3710,10643,1303,8700,190
Botswana,2019,966,2510,1031,1588,230
Brazil,2019,47257,239416,77477,170120,6892
Brunei,2019,40,311,15,267,15
Bulgaria,2019,9226,47209,8139,20639,630
Burkina Faso,2019,3499,13233,6895,2990,158
Burundi,2019,1092,6782,5400,2779,81
Cambodia,2019,3663,14627,9655,16459,908
Cameroon,2019,10482,18648,8420,5414,393
Canada,2019,4393,41799,13622,49646,5062
Cape Verde,2019,321,709,204,157,5
Central African Republic,2019,1027,4899,2358,1975,177
Chad,2019,2734,8252,3381,2973,175
Chile,2019,5935,21801,8556,11179,1781
China,2019,1516904,2599879,514659,2418665,85238
Colombia,2019,13306,40499,7563,17296,507
Comoros,2019,95,737,68,250,8
Congo,2019,1850,5091,1823,1433,142
Cook Islands,2019,3,42,7,21,1
Costa Rica,2019,968,4858,1113,2118,106
Cote d'Ivoire,2019,6868,16175,7232,6481,506
Croatia,2019,3244,14718,2929,9640,132
Cuba,2019,5959,19438,4569,19990,195
Cyprus,2019,462,1835,333,1535,30
Czechia,2019,6562,24817,6728,20716,663
Democratic Republic of Congo,2019,12117,59047,15684,15717,769
Denmark,2019,1475,8695,3524,12728,458
Djibouti,2019,460,828,90,491,14
Dominica,2019,33,153,32,41,1
Dominican Republic,2019,3832,15595,3722,8202,244
East Asia & Pacific (WB),2019,1885595,3946095,810626,3390912,142198
Eastern Mediterranean Region (WHO),2019,407125,864258,35719,403946,25169
Ecuador,2019,4295,12847,3964,4804,269
Egypt,2019,92169,164710,6207,74032,1647
El Salvador,2019,1969,7398,2306,1705,110
England,2019,13138,69738,20103,96059,3660
Equatorial Guinea,2019,403,711,299,192,53
Eritrea,2019,1424,3957,1345,1465,80
Estonia,2019,167,5418,1194,2196,223
